Month,Close
01/01/1980,123.54
02/01/1980,128.21
03/01/1980,128.57
04/01/1980,127.25
05/01/1980,125.97
06/01/1980,122.15
07/01/1980,128.6
08/01/1980,140.75
09/01/1980,134.41
10/01/1980,130.92
11/01/1980,140.14
12/01/1980,148.25
01/01/1981,146.63
02/01/1981,160.16
03/01/1981,173.44
04/01/1981,186.29
05/01/1981,177.06
06/01/1981,211.64
07/01/1981,208.02
08/01/1981,193.49
09/01/1981,205.4
10/01/1981,208.4
11/01/1981,214.56
12/01/1981,227.72
01/01/1982,219.93
02/01/1982,228.07
03/01/1982,217.71
04/01/1982,225.9
05/01/1982,228.92
06/01/1982,212.81
07/01/1982,216.12
08/01/1982,213.99
09/01/1982,228.22
10/01/1982,222.14
11/01/1982,227.97
12/01/1982,235.83
01/01/1983,221.66
02/01/1983,218.82
03/01/1983,211.51
04/01/1983,214.16
05/01/1983,237.42
06/01/1983,237.45
07/01/1983,235.46
08/01/1983,238.57
09/01/1983,236.21
10/01/1983,236.92
11/01/1983,240.21
12/01/1983,252.92
01/01/1984,248.46
02/01/1984,250.47
03/01/1984,245.33
04/01/1984,235.27
05/01/1984,240.75
06/01/1984,249.44
07/01/1984,253.73
08/01/1984,249.14
09/01/1984,265.61
10/01/1984,267.81
11/01/1984,259.44
12/01/1984,271.87
01/01/1985,287.62
02/01/1985,303.63
03/01/1985,353.86
04/01/1985,386.95
05/01/1985,399.42
06/01/1985,477.96
07/01/1985,514.85
08/01/1985,468.14
09/01/1985,434.97
10/01/1985,476.14
11/01/1985,496.35
12/01/1985,527.36
01/01/1986,597.86
02/01/1986,656.89
03/01/1986,574.11
04/01/1986,598.53
05/01/1986,625.64
06/01/1986,605.57
07/01/1986,596.7
08/01/1986,548.4
09/01/1986,588.4
10/01/1986,575.74
11/01/1986,499.81
12/01/1986,524.45
01/01/1987,553.8
02/01/1987,550.43
03/01/1987,510.36
04/01/1987,479.87
05/01/1987,462.27
06/01/1987,433.98
07/01/1987,489.11
08/01/1987,482.79
09/01/1987,449.52
10/01/1987,450.31
11/01/1987,430.18
12/01/1987,442.17
01/01/1988,441.95
02/01/1988,411.22
03/01/1988,398.37
04/01/1988,471.5
05/01/1988,579.81
06/01/1988,583.5
07/01/1988,603.59
08/01/1988,593.76
09/01/1988,662.71
10/01/1988,654.18
11/01/1988,707.44
12/01/1988,666.26
01/01/1989,678.72
02/01/1989,654.96
03/01/1989,713.6
04/01/1989,780.36
05/01/1989,691.15
06/01/1989,792.17
07/01/1989,716.35
08/01/1989,733.3
09/01/1989,748.06
10/01/1989,746.58
11/01/1989,689.72
12/01/1989,778.64
01/01/1990,683.32
02/01/1990,676.23
03/01/1990,781.05
04/01/1990,795.13
05/01/1990,800.8
06/01/1990,850.5
07/01/1990,1098.95
08/01/1990,1247.53
09/01/1990,1420.08
10/01/1990,1295.21
11/01/1990,1196.25
12/01/1990,1048.29
01/01/1991,982.32
02/01/1991,1220.41
03/01/1991,1167.97
04/01/1991,1235.11
05/01/1991,1307.34
06/01/1991,1269.91
07/01/1991,1632.67
08/01/1991,1795.99
09/01/1991,1885.28
10/01/1991,1889.84
11/01/1991,1903.31
12/01/1991,1908.85
01/01/1992,2302.54
02/01/1992,3017.68
03/01/1992,4285
04/01/1992,3887.72
05/01/1992,3006.08
06/01/1992,3080.54
07/01/1992,2727.06
08/01/1992,3031.63
09/01/1992,3294.42
10/01/1992,2833.34
11/01/1992,2518.1
12/01/1992,2615.37
01/01/1993,2680.79
02/01/1993,2783.58
03/01/1993,2280.52
04/01/1993,2122.3
05/01/1993,2192.74
06/01/1993,2227.54
07/01/1993,2328.21
08/01/1993,2633.79
09/01/1993,2709.64
10/01/1993,2673.74
11/01/1993,3233.14
12/01/1993,3346.06
01/01/1994,3994.86
02/01/1994,4286.2
03/01/1994,3778.99
04/01/1994,3746.1
05/01/1994,3829.36
06/01/1994,4086.72
07/01/1994,4191.3
08/01/1994,4588.16
09/01/1994,4281
10/01/1994,4269.86
11/01/1994,4124.18
12/01/1994,3926.9
01/01/1995,3618.54
